Year	Frequency
1853	0
1854	0
1855	0
1856	0
1857	0
1858	0
1859	0
1860	0
1861	0
1862	0
1863	0
1864	0
1865	0
1866	0
1867	0
1868	0
1869	0
1870	0
1871	0
1872	0
1873	0
1874	0
1875	0
1876	0
1877	0
1878	0
1879	0
1880	0
1881	0
1882	0
1883	0
1884	0
1885	0
1886	0
1887	0
1888	0
1889	0
1890	0
1891	0
1892	0
1893	0
1894	0
1895	0
1896	0
1897	0
1898	0
1899	0
1900	0
1901	0
1902	0
1903	0
1904	0
1905	0
1906	0
1907	0
1908	0
1909	0
1910	0
1911	0
1912	0
1913	0
1914	0
1915	0
1916	0
1917	0
1918	0
1919	0
1920	0
1921	0
1922	0
1923	0
1924	1
1925	0
1926	0
1927	0
1928	1
1929	0
1930	0
1931	0
1932	2
1933	2
1934	0
1935	1
1936	0
1937	0
1938	1
1939	0
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	0
1948	0
1949	0
1950	0
1951	0
1952	0
1953	1
1954	0
1955	1
1956	0
1957	0
1958	0
1959	0
1960	0
1961	2
1962	0
1963	0
1964	0
1965	0
1966	0
1967	1
1968	0
1969	1
1970	0
1971	1
1972	0
1973	0
1974	0
1975	0
1976	0
1977	1
1978	0
1979	1
1980	1
1981	0
1982	0
1983	0
1984	0
1985	0
1986	0
1987	0
1988	1
1989	1
1990	0
1991	0
1992	1
1993	0
1994	0
1995	0
1996	0
1997	0
1998	1
1999	0
2000	0
2001	0
2002	0
2003	1
2004	1
2005	4
2006	0
2007	2
2008	0
2009	0
2010	0
2011	0
2012	0
2013	0
2014	0
2015	0
2016	1
2017	2
2018	1
2019	2
2020	0